Name,MeasurementUnit,ProductGroup,STOCK,Barcode,Cost,Supplier,Price,Image,SKU, stock minimo,LowStockWarning,PreferredQuantity,WarningQuantity,IsUsingDefaultQuantity
SNACK NUESTROS SABORES - TOSTADITA PAN Y MANTECA 50GR,Unidad,GALLETITAS - PANES - SNAKCS,7,7798171733065,777,ORGANICA,1900,,524,,1,5,2,1
SNACKS DE GARBANZO QUESO - FITBEANS - 75GR,Unidad,GALLETITAS - PANES - SNAKCS,10,7798184451048,625,NUTRER,1200,,525,,1,5,2,1
SNACKS DE GARBANZO SAL MARINA - FITBEANS - 75GR,Unidad,GALLETITAS - PANES - SNAKCS,8,7798184451031,625,NUTRER,1200,,526,,1,5,2,1
TALITAS QUESO TOSTI ,Unidad,GALLETITAS - PANES - SNAKCS,6,7794529042124,773,TREGAR,1200,,527,,1,5,2,1
TALITAS SEMILLA TOSTI,Unidad,GALLETITAS - PANES - SNAKCS,2,7794529042148,773,TREGAR,1200,,528,,1,5,2,1
TOSTADA BIO - SIN TACC CLASICAS 65GR,Unidad,GALLETITAS - PANES - SNAKCS,9,7798221642057,1620,BIOMEGA,2500,,529,,1,3,1,1
TOSTADA BIO - SIN TACC CON SEMILLAS 65GR,Unidad,GALLETITAS - PANES - SNAKCS,10,7798221642064,1620,BIOMEGA,2500,,530,,1,3,1,1
TOSTADAS DE ARROZ - ALA INTEGRAL 150G,Unidad,GALLETITAS - PANES - SNAKCS,4,7791120098109,1500,ORGANICA,2600,,531,,1,5,2,1
TOSTADAS DE ARROZ -ALA CLASICA 150GR,Unidad,GALLETITAS - PANES - SNAKCS,4,7791120098093,1500,ORGANICA,2600,,532,,1,5,2,1
TOSTADAS DE ARROZ LEIVA - CLASICA,Unidad,GALLETITAS - PANES - SNAKCS,0,7790412000271,956.99,MD DISTRIBUCIONES,1600,,533,,1,5,2,1
TOSTADAS TOSTI - CLASICAS 200GR,Unidad,GALLETITAS - PANES - SNAKCS,15,7794529041608,999,TREGAR,1700,,534,,1,5,2,1
TOSTADAS TOSTI - DULCES 200GR,Unidad,GALLETITAS - PANES - SNAKCS,5,7794529041639,999,TREGAR,1700,,535,,1,5,2,1
TOSTADAS TOSTI - LIGHT 200GR,Unidad,GALLETITAS - PANES - SNAKCS,7,7794529041622,999,TREGAR,1700,,536,,1,5,2,1
TOSTADAS TOSTI - SIN SAL 200GR,Unidad,GALLETITAS - PANES - SNAKCS,11,7794529041615,999,TREGAR,1700,,537,,1,5,2,1
TOSTADAS MANIERI - SIN SAL ,Unidad,GALLETITAS - PANES - SNAKCS,3,7798120180575,,,1300,,538,,1,5,2,1
BROWNIE CHOCOLATE CON SEMILLAS - KETO,Unidad,GALLETITAS - PANES - SNAKCS,0,,5200,SABOR Y ARTE,6800,,539,,1,6,3,1
MINI BUDIN NARANJA - KETO,Unidad,GALLETITAS - PANES - SNAKCS,0,,4200,SABOR Y ARTE,5500,,540,,1,6,3,1
COOKIES VAINILLA Y NUECES 8 UNID - KETO,Unidad,GALLETITAS - PANES - SNAKCS,0,,7400,SABOR Y ARTE,9600,,541,,1,6,3,1
PEPAS DE FRUTOS ROJOS 8 UNID - KETO,Unidad,GALLETITAS - PANES - SNAKCS,0,,7100,SABOR Y ARTE,9300,,542,,1,6,3,1
MEDIALUNAS DULCES - KETO,Unidad,GALLETITAS - PANES - SNAKCS,0,,834,SABOR Y ARTE,1100,,543,,1,12,5,1
MEDIALUNAS SALADAS - KETO,Unidad,GALLETITAS - PANES - SNAKCS,0,,834,SABOR Y ARTE,1100,,544,,1,12,5,1
PASTAS SECAS TALLARIN 300GR - KETO,Unidad,GONDOLA,0,,5800,SABOR Y ARTE,7600,,545,,1,6,1,1
AZUCAR ORGANICA SIN TACC DICOMERE 1KG,Unidad,REPOSTERIA,3,7793323004260,4377,BIOMEGA,7000,,546,,1,3,1,1
AVENA EN COPOS SIN TACC BIO,Unidad,ALMIDONES - PREMEZCLAS - AVENA,1,7798221642125,2885,PUNTO CANDY,5200,,547,,1,3,1,1
AVENA EXTRAFINA SIN TACC BIO,Unidad,ALMIDONES - PREMEZCLAS - AVENA,1,7798221642118,2360,PUNTO CANDY,5200,,548,,1,3,1,1
AVENA TRADICIONAL SIN TACC BIO,Unidad,ALMIDONES - PREMEZCLAS - AVENA,1,7798221642095,2885,PUNTO CANDY,5200,,549,,1,3,1,1
SALVADO DE AVENA SIN TACC BIO,Unidad,ALMIDONES - PREMEZCLAS - AVENA,,7798221642101,2885,PUNTO CANDY,5200,,550,,1,3,1,1
HARINA DE AVENA SIN GLUTEN CUMANA,Unidad,ALMIDONES - PREMEZCLAS - AVENA,,7791885413988,2205,BIOMEGA,5200,,551,,1,3,1,1
AVENA INSTANTANEA SIN GLUTEN CUMANA,Unidad,ALMIDONES - PREMEZCLAS - AVENA,,7791885414015,2205,BIOMEGA,5200,,552,,1,3,1,1
AVENA TRADICIONAL SIN GLUTEN CUMANA,Unidad,ALMIDONES - PREMEZCLAS - AVENA,,7791885414022,2205,BIOMEGA,5200,,553,,1,3,1,1
HARINA DE ALMENDRAS DICOMERE X200GR,Unidad,HARINAS,3,7793323004017,4411.3,ORGANICA,7500,,554,,1,3,1,1
HARINA DE COCO DOY PACK - DICOMERE 200GR,Unidad,HARINAS,5,7793323004406,1476,ORGANICA,3000,,555,,1,3,1,1
HARINA DE MAIZ BLANCO x500gr YIN YANG,Unidad,HARINAS,1,7790495001158,,BIOMEGA,2500,,556,,1,3,1,1
HARINA DE TRIGO SARRACENO SEISINAS x1kg,Unidad,HARINAS,3,,3721.5,MAITEN,6000,,557,,1,3,1,1
REBOZADOR (PAN RALLADO) x350 SMAMS - SIN TACC,Unidad,ALMIDONES - PREMEZCLAS - AVENA,10,7798181511233,1785.2,BIOMEGA,2900,,558,,1,3,1,1
REBOZADOR KETO - BASTONI 500gr,Unidad,ALMIDONES - PREMEZCLAS - AVENA,,,4500,GOURMET CONCEPCION,7000,,559,,1,10,2,1
PREMEZCLA DELICEL - BIZCOCHUELO CHOCO,Unidad,ALMIDONES - PREMEZCLAS - AVENA,6,7798160700023,2523,BIOMEGA,4600,,560,,1,3,1,1
PREMEZCLA DELICEL - BIZCOCHUELO VAINILLA,Unidad,ALMIDONES - PREMEZCLAS - AVENA,5,7798160700016,2523,BIOMEGA,4600,,561,,1,3,1,1
PREMEZCLA DELICEL - PAN - SIN TACC,Unidad,ALMIDONES - PREMEZCLAS - AVENA,5,7798160700054,2523,BIOMEGA,4600,,562,,1,3,1,1
PREMEZCLA DELICEL - PIZZA - SIN TACC,Unidad,ALMIDONES - PREMEZCLAS - AVENA,10,7798160700030,2523,BIOMEGA,4600,,563,,1,3,1,1
PREMEZCLA DELICEL - PAN INTEGRAL - SIN TACC,Unidad,ALMIDONES - PREMEZCLAS - AVENA,6,7798160700566,2523,BIOMEGA,4600,,564,,1,3,1,1
PREMEZCLA DELICEL - UNIVERSAL - SIN TACC,Unidad,ALMIDONES - PREMEZCLAS - AVENA,5,7798160700047,1983,BIOMEGA,4600,,565,,1,3,1,1
PREMEZCLA DIMAX x1kg - SIN TACC,Unidad,ALMIDONES - PREMEZCLAS - AVENA,3,7798144941138,3806,BIOMEGA,6900,,566,,1,3,1,1
PREMEZCLA DIMAX x500g - SIN TACC,Unidad,ALMIDONES - PREMEZCLAS - AVENA,3,7798144941275,2033.51,BIOMEGA,3700,,567,,1,3,1,1
PREMEZCLA GLUTAL - SIN TACC,Kilogramo,ALMIDONES - PREMEZCLAS - AVENA,0,2502261850281,2846,MAITEN,4700,,568,,1,3,1,0
